topic	tweet_id	class_label	run_id
COVID-19	1441071232951193603	1	mt5
COVID-19	1432697517515452428	0	mt5
COVID-19	1408105407730552841	0	mt5
COVID-19	1418196461632774148	0	mt5
COVID-19	1420339765652692994	1	mt5
COVID-19	1420339558911254530	1	mt5
COVID-19	1417259647740882947	0	mt5
COVID-19	1435303471570472962	1	mt5
COVID-19	1409570949159079941	1	mt5
COVID-19	1429483715869151233	1	mt5
COVID-19	1438533819280367622	1	mt5
COVID-19	1417017461833089027	0	mt5
COVID-19	1428447853559615496	1	mt5
COVID-19	1441070149822558209	1	mt5
COVID-19	1408092678244425732	0	mt5
COVID-19	1432610885844049921	1	mt5
COVID-19	1442528018245718025	0	mt5
COVID-19	1427307616963866630	1	mt5
COVID-19	1412490918129717252	1	mt5
COVID-19	1421569553264484356	1	mt5
COVID-19	1411460561704034306	0	mt5
COVID-19	1433006896064208903	1	mt5
COVID-19	1427291531115913219	0	mt5
COVID-19	1434411261958180865	0	mt5
COVID-19	1429311999951912960	1	mt5
COVID-19	1417757792090345474	0	mt5
COVID-19	1427294553854328837	0	mt5
COVID-19	1442774336255954948	0	mt5
COVID-19	1411958013020229633	0	mt5
COVID-19	1409656861880504328	0	mt5
COVID-19	1442932321129152514	0	mt5
COVID-19	1427609103975714821	0	mt5
COVID-19	1428120882665373702	1	mt5
COVID-19	1418867417309192201	1	mt5
COVID-19	1428665202405482502	0	mt5
COVID-19	1430972394743676936	1	mt5
COVID-19	1407442178763374598	1	mt5
COVID-19	1437071326569709574	0	mt5
COVID-19	1438735330572738561	0	mt5
COVID-19	1420339625793568771	0	mt5
COVID-19	1408093372456259593	0	mt5
COVID-19	1417756992555323394	1	mt5
COVID-19	1432472214050377729	0	mt5
COVID-19	1408391321253974018	1	mt5
COVID-19	1420916207943917569	0	mt5
COVID-19	1420951610293895169	1	mt5
COVID-19	1410258392870965252	0	mt5
COVID-19	1437755822327713795	0	mt5
COVID-19	1420915196286193677	0	mt5
COVID-19	1407842701832298498	0	mt5
COVID-19	1437108736296882176	1	mt5
COVID-19	1429311095530049536	0	mt5
COVID-19	1423750822819663878	0	mt5
COVID-19	1442505363970875398	0	mt5
COVID-19	1431184377816420353	0	mt5
COVID-19	1437850468110278662	0	mt5
COVID-19	1435311872551669766	0	mt5
COVID-19	1442397805318901760	0	mt5
COVID-19	1414344002174951427	1	mt5
COVID-19	1420339437704261635	1	mt5
COVID-19	1431644922264920067	0	mt5
COVID-19	1428434117906026498	0	mt5
COVID-19	1442903742777479176	1	mt5
COVID-19	1437849330036117509	1	mt5
COVID-19	1417444609085562883	0	mt5
COVID-19	1422514612348588036	0	mt5
COVID-19	1418812099497807882	0	mt5
COVID-19	1420807110758178816	0	mt5
COVID-19	1429408265679556621	1	mt5
COVID-19	1434098575668043786	0	mt5
COVID-19	1407648614608945159	0	mt5
COVID-19	1408887510000934914	0	mt5
COVID-19	1428449317623418883	0	mt5
COVID-19	1439484833311309827	0	mt5
COVID-19	1423705611850686465	0	mt5
COVID-19	1428261655302049792	1	mt5
COVID-19	1408841883951026181	1	mt5
COVID-19	1407437820386553859	0	mt5
COVID-19	1407428219855380487	0	mt5
COVID-19	1429314550537629701	0	mt5
COVID-19	1413108137620611073	0	mt5
COVID-19	1437839264461606917	1	mt5
COVID-19	1408716968778256385	1	mt5
COVID-19	1410194258871656449	0	mt5
COVID-19	1428905536129429507	0	mt5
COVID-19	1436434285813243930	0	mt5
COVID-19	1408092991097540630	1	mt5
COVID-19	1429402786886832130	1	mt5
COVID-19	1440239866797645838	1	mt5
COVID-19	1430770564180975617	0	mt5
COVID-19	1442523417517993986	0	mt5
COVID-19	1436680531995987968	1	mt5
COVID-19	1420340329933426689	1	mt5
COVID-19	1432305402415300609	0	mt5
COVID-19	1427855273364963333	0	mt5
COVID-19	1427843113993838596	1	mt5
COVID-19	1409558911733145604	0	mt5
COVID-19	1408078338262974464	0	mt5
COVID-19	1435055882153480195	1	mt5
COVID-19	1418195584750702592	1	mt5
COVID-19	1422514658401918978	1	mt5
COVID-19	1422513298650636317	0	mt5
COVID-19	1432295419481051138	0	mt5
COVID-19	1410327604025085953	0	mt5
COVID-19	1436103704575414274	1	mt5
COVID-19	1418799318375542789	0	mt5
COVID-19	1407331387061964800	1	mt5
COVID-19	1422523788734910464	0	mt5
COVID-19	1427848461022543872	1	mt5
COVID-19	1407649064011943938	0	mt5
COVID-19	1432121451696594947	1	mt5
COVID-19	1408364467738513413	0	mt5
COVID-19	1429905765507141639	1	mt5
COVID-19	1427614532260794377	1	mt5
COVID-19	1442522037059264514	0	mt5
COVID-19	1412009169616576512	1	mt5
COVID-19	1414345122955792385	0	mt5
COVID-19	1427284022904954882	1	mt5
COVID-19	1413111480891891717	0	mt5
COVID-19	1418982919805317122	0	mt5
COVID-19	1423161839270105089	0	mt5
COVID-19	1428037983618359296	0	mt5
COVID-19	1427285645588848642	0	mt5
COVID-19	1429369072802729987	0	mt5
COVID-19	1429525939285897222	0	mt5
COVID-19	1442510108978814977	1	mt5
COVID-19	1427679409436336128	0	mt5
COVID-19	1418379798242529282	0	mt5
COVID-19	1414823900056199170	0	mt5
COVID-19	1428902045751382025	0	mt5
COVID-19	1432120896450441218	0	mt5
COVID-19	1432702221297365002	1	mt5
COVID-19	1422517164012097536	0	mt5
COVID-19	1436443609272832003	1	mt5
COVID-19	1408132938085060616	0	mt5
COVID-19	1427360373209018370	0	mt5
COVID-19	1409020794273947648	1	mt5
COVID-19	1429224793908383747	0	mt5
COVID-19	1417392203303903233	0	mt5
COVID-19	1413472392169590785	0	mt5
COVID-19	1435311075906498564	1	mt5
COVID-19	1429319805774016516	1	mt5
COVID-19	1413473391793770496	0	mt5
COVID-19	1413472604502073344	0	mt5
COVID-19	1427270295241560064	0	mt5
COVID-19	1435861371325984772	0	mt5
COVID-19	1407440406967730177	0	mt5
COVID-19	1431438830268305411	1	mt5
COVID-19	1443305325357043716	0	mt5
COVID-19	1443679868395393026	1	mt5
COVID-19	1431181103503757313	0	mt5
COVID-19	1443307974336913419	1	mt5
COVID-19	1428211103868334083	0	mt5
COVID-19	1442528019394936838	1	mt5
COVID-19	1428400900943581185	0	mt5
COVID-19	1437036679722831872	0	mt5
COVID-19	1409643675185860615	0	mt5
COVID-19	1420820143827996675	1	mt5
COVID-19	1417611287538896899	0	mt5
COVID-19	1427844771448557576	0	mt5
COVID-19	1427605847283146753	0	mt5
COVID-19	1408410036674703362	0	mt5
COVID-19	1419326963530010627	0	mt5
COVID-19	1414350687975186432	1	mt5
COVID-19	1418998914452180999	1	mt5
COVID-19	1410857438841016322	0	mt5
COVID-19	1431560005577285635	1	mt5
COVID-19	1429309677431660547	0	mt5
COVID-19	1439901294936956939	1	mt5
COVID-19	1427286570281885700	0	mt5
COVID-19	1414647788533583874	0	mt5
COVID-19	1408314537825214464	0	mt5
COVID-19	1431184728636510208	0	mt5
COVID-19	1429307742020423681	1	mt5
COVID-19	1415610513246019585	0	mt5
COVID-19	1442483917349695489	1	mt5
COVID-19	1436434324925128749	1	mt5
COVID-19	1418979948535197701	0	mt5
COVID-19	1416551436863823878	0	mt5
COVID-19	1438508407028285445	0	mt5
COVID-19	1442940676258209813	1	mt5
COVID-19	1442510444334256133	0	mt5
COVID-19	1418980586358771713	0	mt5
COVID-19	1430990876386463747	0	mt5
COVID-19	1419719206807953409	0	mt5
COVID-19	1414654859522019329	1	mt5
COVID-19	1415624067416305664	0	mt5
COVID-19	1419330841034043397	0	mt5
COVID-19	1427844211097980929	0	mt5
COVID-19	1438492880163819525	0	mt5
COVID-19	1436619015858884608	1	mt5
COVID-19	1409384401616740354	0	mt5
COVID-19	1412735461752283137	1	mt5
COVID-19	1413955033142603784	1	mt5
COVID-19	1408041292106506246	1	mt5
COVID-19	1440541875123867652	0	mt5
COVID-19	1439257940226097152	0	mt5
COVID-19	1437839733321879557	0	mt5
COVID-19	1431450478437703682	0	mt5
COVID-19	1414645852392599555	0	mt5
COVID-19	1418801450638094340	0	mt5
COVID-19	1409604567185215488	0	mt5
COVID-19	1411098326871707649	0	mt5
COVID-19	1407362252450189323	0	mt5
COVID-19	1416368309478494212	1	mt5
COVID-19	1433772433622900736	1	mt5
COVID-19	1420338257724952579	1	mt5
COVID-19	1434938226175889409	0	mt5
COVID-19	1432689828672544776	0	mt5
COVID-19	1436437849851715587	0	mt5
COVID-19	1442510631010140167	0	mt5
COVID-19	1412320529202221058	0	mt5
COVID-19	1420917568290885635	1	mt5
COVID-19	1436842039287730179	0	mt5
COVID-19	1442523430449041412	1	mt5
COVID-19	1414358346342309888	0	mt5
COVID-19	1436434406093299750	0	mt5
COVID-19	1429478863185321992	1	mt5
COVID-19	1411820982671708160	0	mt5
COVID-19	1414333342070231040	0	mt5
COVID-19	1432690178565578754	1	mt5
COVID-19	1441070562608963590	1	mt5
COVID-19	1435305503916236803	1	mt5
COVID-19	1408901701202067458	1	mt5
COVID-19	1436435174217199619	0	mt5
COVID-19	1428613938460205057	1	mt5
COVID-19	1437174210711932928	1	mt5
COVID-19	1427195539402149893	0	mt5
COVID-19	1418136004070871044	1	mt5
COVID-19	1428900444290617354	0	mt5
COVID-19	1408109213746925583	0	mt5
COVID-19	1423705721338802187	0	mt5
COVID-19	1422516879239884800	1	mt5
COVID-19	1414655324942966800	1	mt5
COVID-19	1411962479597559810	1	mt5
COVID-19	1428578544943312898	1	mt5
COVID-19	1428459036308123650	0	mt5
COVID-19	1407713405063118849	1	mt5
COVID-19	1437850077209444353	1	mt5
COVID-19	1440549237918339078	0	mt5
COVID-19	1411098083392372738	0	mt5
COVID-19	1431181503040561154	0	mt5
COVID-19	1437847663559553037	0	mt5
COVID-19	1420338774236610566	1	mt5
COVID-19	1410959845272981506	0	mt5
COVID-19	1428463235452243980	0	mt5
COVID-19	1431449483745927170	0	mt5
COVID-19	1441069934050689026	1	mt5
COVID-19	1441070934220181511	0	mt5
COVID-19	1434114550815727617	0	mt5
COVID-19	1421385253759893507	0	mt5
COVID-19	1417762135862620160	1	mt5
COVID-19	1428446791410855936	1	mt5
COVID-19	1434094974346436608	0	mt5
COVID-19	1417018312094101505	0	mt5
COVID-19	1408556987676303363	1	mt5
COVID-19	1437840542805766146	1	mt5
COVID-19	1418804253481738244	0	mt5
COVID-19	1418151640050319361	0	mt5
