topic	tweet_id	class_label	run_id
COVID-19	1366810212838088710	1	mt5
COVID-19	1366810248040902662	0	mt5
COVID-19	1366810742230560773	0	mt5
COVID-19	1366811153104588807	1	mt5
COVID-19	1366814000206536706	1	mt5
COVID-19	1366819650017853446	0	mt5
COVID-19	1366820916899020801	1	mt5
COVID-19	1366822775126654981	1	mt5
COVID-19	1366825638842097665	1	mt5
COVID-19	1366827663822905354	0	mt5
COVID-19	1366828668337721352	1	mt5
COVID-19	1366831284014755842	0	mt5
COVID-19	1366836959360950272	1	mt5
COVID-19	1366839941464997888	0	mt5
COVID-19	1366844111874064385	1	mt5
COVID-19	1366844169029881861	1	mt5
COVID-19	1366844877548515332	0	mt5
COVID-19	1366845491883950080	0	mt5
COVID-19	1366846108425666560	0	mt5
COVID-19	1366847751468761089	1	mt5
COVID-19	1366851225224839168	0	mt5
COVID-19	1366852527917068289	1	mt5
COVID-19	1366853167233855496	1	mt5
COVID-19	1366854171572469763	1	mt5
COVID-19	1366854317970493441	0	mt5
COVID-19	1366857862643937287	0	mt5
COVID-19	1366861108921917441	1	mt5
COVID-19	1366861238307852288	0	mt5
COVID-19	1366861932301541386	0	mt5
COVID-19	1366863590897184772	0	mt5
COVID-19	1366865013428736000	0	mt5
COVID-19	1366866782984806400	0	mt5
COVID-19	1366870937187024897	1	mt5
COVID-19	1366872009767071751	1	mt5
COVID-19	1366872068357312512	1	mt5
COVID-19	1366877035335979012	0	mt5
COVID-19	1366878691431763971	0	mt5
COVID-19	1366879478484467714	1	mt5
COVID-19	1366879763240001542	1	mt5
COVID-19	1366884091564593152	1	mt5
COVID-19	1366891949656068102	0	mt5
COVID-19	1366898863051784192	1	mt5
COVID-19	1366911487630049283	1	mt5
COVID-19	1366916824680591360	1	mt5
COVID-19	1366924392027021312	1	mt5
COVID-19	1366926385839624193	0	mt5
COVID-19	1366946215049523202	0	mt5
COVID-19	1366957938108162049	1	mt5
COVID-19	1366973226795081728	0	mt5
COVID-19	1366990460460429312	0	mt5
COVID-19	1367005909679890435	1	mt5
COVID-19	1367007835016421381	0	mt5
COVID-19	1367020516012359680	0	mt5
COVID-19	1367023563266551808	1	mt5
COVID-19	1367024754767593475	1	mt5
COVID-19	1367025034351501312	0	mt5
COVID-19	1367026969678909444	0	mt5
COVID-19	1367028051842899968	1	mt5
COVID-19	1367028843400298496	1	mt5
COVID-19	1367032411918336002	0	mt5
COVID-19	1367036776569839618	1	mt5
COVID-19	1367039259966849026	0	mt5
COVID-19	1367040413408911363	1	mt5
COVID-19	1367041819117301760	0	mt5
COVID-19	1367043360419164167	0	mt5
COVID-19	1367049248034992129	0	mt5
COVID-19	1367057054339325953	0	mt5
COVID-19	1367057210195521537	0	mt5
COVID-19	1367058920833966080	1	mt5
COVID-19	1367059774844583936	0	mt5
COVID-19	1367060457194987521	1	mt5
COVID-19	1367062403238612996	1	mt5
COVID-19	1367064933809160193	1	mt5
COVID-19	1367069613712961543	0	mt5
COVID-19	1367072878856921092	0	mt5
COVID-19	1367073965206888448	0	mt5
COVID-19	1367078487299919876	1	mt5
COVID-19	1367079557019361283	1	mt5
COVID-19	1367088797519872003	0	mt5
COVID-19	1367090533466857473	0	mt5
COVID-19	1367091438262050818	0	mt5
COVID-19	1367101615447171078	1	mt5
COVID-19	1367110621066633224	0	mt5
COVID-19	1367111856565944326	1	mt5
COVID-19	1367115052642430981	1	mt5
COVID-19	1367117154471055360	0	mt5
COVID-19	1367117332766679040	1	mt5
COVID-19	1367119638228828167	1	mt5
COVID-19	1367138201182162947	0	mt5
COVID-19	1367138697204944898	1	mt5
COVID-19	1367142615435661313	0	mt5
COVID-19	1367142802367332352	0	mt5
COVID-19	1367143845973143558	0	mt5
COVID-19	1367146417953923073	0	mt5
COVID-19	1367151467354877954	0	mt5
COVID-19	1367152538357665792	0	mt5
COVID-19	1367152797465120770	0	mt5
COVID-19	1367152921423527936	1	mt5
COVID-19	1367153643657510914	1	mt5
COVID-19	1367155778931539968	0	mt5
COVID-19	1367156384232538113	1	mt5
COVID-19	1367157044273414145	1	mt5
COVID-19	1367158725279174657	1	mt5
COVID-19	1367159093094400011	0	mt5
COVID-19	1367160002381811721	0	mt5
COVID-19	1367161787767021570	1	mt5
COVID-19	1367162834006773761	0	mt5
COVID-19	1367163349977485317	0	mt5
COVID-19	1367163709236404229	0	mt5
COVID-19	1367168698096775173	1	mt5
COVID-19	1367173485752123400	1	mt5
COVID-19	1367173682918023182	1	mt5
COVID-19	1367174003274756100	1	mt5
COVID-19	1367174693724291072	0	mt5
COVID-19	1367175323452866563	0	mt5
COVID-19	1367175479581630467	0	mt5
COVID-19	1367181249853480975	0	mt5
COVID-19	1367182497314983936	0	mt5
COVID-19	1367182582962659335	0	mt5
COVID-19	1367182806271619072	0	mt5
COVID-19	1367184262378717195	0	mt5
COVID-19	1367186332183908358	1	mt5
COVID-19	1367191225523142658	1	mt5
COVID-19	1367191490141818881	0	mt5
COVID-19	1367193015429853187	0	mt5
COVID-19	1367193717321383939	0	mt5
COVID-19	1367194243580755976	0	mt5
COVID-19	1367194911498522628	0	mt5
COVID-19	1367195266550558727	1	mt5
COVID-19	1367195554036514817	0	mt5
COVID-19	1367195768281567242	0	mt5
COVID-19	1367196288136142854	0	mt5
COVID-19	1367198422172844036	1	mt5
COVID-19	1367198642919137286	0	mt5
COVID-19	1367201009383043074	1	mt5
COVID-19	1367203431019143174	1	mt5
COVID-19	1367207105833422856	0	mt5
COVID-19	1367207285584519174	1	mt5
COVID-19	1367209882710138884	0	mt5
COVID-19	1367211210412851203	1	mt5
COVID-19	1367214757418262533	0	mt5
COVID-19	1367219341784186883	1	mt5
COVID-19	1367221089957388290	1	mt5
COVID-19	1367225352200859655	0	mt5
COVID-19	1367227651354689542	0	mt5
COVID-19	1367233284946673665	1	mt5
COVID-19	1367234909601955840	0	mt5
COVID-19	1367236653035757573	1	mt5
COVID-19	1367238567601311744	0	mt5
COVID-19	1367246525164707840	1	mt5
COVID-19	1367248579547582471	0	mt5
COVID-19	1367250238449332224	1	mt5
COVID-19	1367250283760398337	0	mt5
COVID-19	1367257240709775360	0	mt5
COVID-19	1367258051703681031	1	mt5
COVID-19	1367262167762948109	0	mt5
COVID-19	1367276122044571652	0	mt5
COVID-19	1367321891065757698	1	mt5
COVID-19	1367322301646204930	1	mt5
COVID-19	1367324241209786370	1	mt5
COVID-19	1367343225632088064	0	mt5
COVID-19	1367347200158801926	1	mt5
COVID-19	1367349014958604293	0	mt5
COVID-19	1367351167701966850	1	mt5
COVID-19	1367351172747714561	1	mt5
COVID-19	1367351177604694017	1	mt5
COVID-19	1367351187205484547	0	mt5
COVID-19	1367352087655383049	0	mt5
COVID-19	1367369486827945984	1	mt5
COVID-19	1367370693822849026	0	mt5
COVID-19	1367371217435557890	0	mt5
COVID-19	1367371374927486976	0	mt5
COVID-19	1367374424341704705	1	mt5
COVID-19	1367376782987526144	0	mt5
COVID-19	1367377087099723776	1	mt5
COVID-19	1367378581945466885	0	mt5
COVID-19	1367379245597663233	0	mt5
COVID-19	1367379762667278336	0	mt5
COVID-19	1367380531797766146	1	mt5
COVID-19	1367384096687546368	1	mt5
COVID-19	1367385587364339712	1	mt5
COVID-19	1367385702296674313	1	mt5
COVID-19	1367385752221450250	0	mt5
COVID-19	1367385878402899975	1	mt5
COVID-19	1367385917154078722	1	mt5
COVID-19	1367387127063982082	0	mt5
COVID-19	1367388430838210562	0	mt5
COVID-19	1367391867004854279	1	mt5
COVID-19	1367393400723550208	0	mt5
COVID-19	1367394514286104579	0	mt5
COVID-19	1367395605815902210	0	mt5
COVID-19	1367395610471641089	0	mt5
COVID-19	1367395866106073091	0	mt5
COVID-19	1367397052230082561	1	mt5
COVID-19	1367397675684032513	0	mt5
COVID-19	1367398060305895429	0	mt5
COVID-19	1367398423796842498	0	mt5
COVID-19	1367399168843657217	0	mt5
COVID-19	1367399407029800961	0	mt5
COVID-19	1367400719578525699	0	mt5
COVID-19	1367401156931162114	0	mt5
COVID-19	1367401159590371329	0	mt5
COVID-19	1367401204616151041	0	mt5
COVID-19	1367402065354518532	0	mt5
COVID-19	1367402992727646208	1	mt5
COVID-19	1367403894557573121	0	mt5
COVID-19	1367404053668454411	0	mt5
COVID-19	1367404083435491328	0	mt5
COVID-19	1367404648425000963	0	mt5
COVID-19	1367405209023098884	0	mt5
COVID-19	1367405467580977162	1	mt5
COVID-19	1367405633507622912	0	mt5
COVID-19	1367405758732783620	0	mt5
COVID-19	1367405810557583362	1	mt5
COVID-19	1367407025316102155	1	mt5
COVID-19	1367407242702684160	1	mt5
COVID-19	1367407693540052993	0	mt5
COVID-19	1367409445450502144	0	mt5
COVID-19	1367409846644006912	0	mt5
COVID-19	1367409848686673920	0	mt5
COVID-19	1367409850565672982	0	mt5
COVID-19	1367409852503441408	0	mt5
COVID-19	1367409876096458752	1	mt5
COVID-19	1367409996158414848	0	mt5
COVID-19	1367410432936472576	0	mt5
COVID-19	1367410996843839491	1	mt5
COVID-19	1367411020868763648	1	mt5
COVID-19	1367411603348590597	0	mt5
COVID-19	1367412130648047616	0	mt5
COVID-19	1367412408197804035	0	mt5
COVID-19	1367413054598709249	0	mt5
COVID-19	1367413809682464769	0	mt5
COVID-19	1367415019550494722	1	mt5
COVID-19	1367415103327506433	0	mt5
COVID-19	1367416464672776199	0	mt5
COVID-19	1367417339256467459	0	mt5
COVID-19	1367417720120233984	0	mt5
COVID-19	1367418232861323264	0	mt5
COVID-19	1367418377707347968	0	mt5
COVID-19	1367418524969353226	1	mt5
COVID-19	1367418965119631360	0	mt5
COVID-19	1367419039979614208	0	mt5
COVID-19	1367419091619831815	0	mt5
COVID-19	1367419275225497603	0	mt5
COVID-19	1367420248778035202	0	mt5
COVID-19	1367420767068180481	0	mt5
COVID-19	1367421014192361474	0	mt5
COVID-19	1367421750804439041	0	mt5
COVID-19	1367421882555850778	0	mt5
COVID-19	1367422332264980480	0	mt5
COVID-19	1367423901941305345	1	mt5
COVID-19	1367425608624521217	0	mt5
COVID-19	1367426253691707393	0	mt5
COVID-19	1367427084512067585	1	mt5
COVID-19	1367427316079595527	1	mt5
COVID-19	1367427929177743361	1	mt5
COVID-19	1367428018155773952	1	mt5
COVID-19	1367428312193196034	0	mt5
COVID-19	1367428355755180035	1	mt5
COVID-19	1367428707594493952	0	mt5
COVID-19	1367429181865353230	1	mt5
COVID-19	1367429423016902656	1	mt5
COVID-19	1367431684124205057	0	mt5
COVID-19	1367432085988921345	0	mt5
COVID-19	1367432658834358272	1	mt5
COVID-19	1367432737234309121	0	mt5
COVID-19	1367432819593592852	1	mt5
COVID-19	1367433051014332417	0	mt5
COVID-19	1367434695139602433	1	mt5
COVID-19	1367435072903786501	0	mt5
COVID-19	1367436039036538883	1	mt5
COVID-19	1367436059626340352	0	mt5
COVID-19	1367438711051460613	0	mt5
COVID-19	1367438944628051969	1	mt5
COVID-19	1367440304538869763	0	mt5
COVID-19	1367442604141412360	1	mt5
COVID-19	1367444727512072221	0	mt5
COVID-19	1367445778097188865	0	mt5
COVID-19	1367446404436754439	0	mt5
COVID-19	1367447706529107973	0	mt5
COVID-19	1367448129088462850	1	mt5
COVID-19	1367448421322358787	0	mt5
COVID-19	1367449015374249987	1	mt5
COVID-19	1367449099411292163	0	mt5
COVID-19	1367449367964188672	1	mt5
COVID-19	1367451134105968641	1	mt5
COVID-19	1367451857015234565	1	mt5
COVID-19	1367452730315407361	0	mt5
COVID-19	1367453281602195456	0	mt5
COVID-19	1367453818586292225	1	mt5
COVID-19	1367454046542589961	1	mt5
COVID-19	1367454659686903808	1	mt5
COVID-19	1367454779773882371	0	mt5
COVID-19	1367454945235136512	1	mt5
COVID-19	1367455590675529732	1	mt5
COVID-19	1367455732703059968	1	mt5
COVID-19	1367456091269984258	0	mt5
COVID-19	1367456172614295553	0	mt5
COVID-19	1367456609794994178	1	mt5
COVID-19	1367456617118203904	1	mt5
COVID-19	1367456752405512196	0	mt5
COVID-19	1367457480134053891	0	mt5
COVID-19	1367457832686284800	0	mt5
COVID-19	1367458338099892226	1	mt5
COVID-19	1367458385973698565	0	mt5
COVID-19	1367458810042941440	1	mt5
COVID-19	1367459499536232449	0	mt5
COVID-19	1367460096947675136	1	mt5
COVID-19	1367461040594817024	1	mt5
COVID-19	1367462576397942791	1	mt5
COVID-19	1367463209100279818	0	mt5
COVID-19	1367463587988480001	0	mt5
COVID-19	1367463767127244806	0	mt5
COVID-19	1367464233626140674	1	mt5
COVID-19	1367464839094956033	0	mt5
COVID-19	1367464888021450753	1	mt5
COVID-19	1367464911257886723	0	mt5
COVID-19	1367464925443067906	0	mt5
COVID-19	1367466983705427991	0	mt5
COVID-19	1367467641267494913	0	mt5
COVID-19	1367467962781872128	1	mt5
COVID-19	1367468218948988932	1	mt5
COVID-19	1367468264675229697	1	mt5
COVID-19	1367468735355846657	0	mt5
COVID-19	1367469807277375492	0	mt5
COVID-19	1367469835240800259	0	mt5
COVID-19	1367469901213036548	1	mt5
COVID-19	1367471656151703559	1	mt5
COVID-19	1367472301416075265	0	mt5
COVID-19	1367472545335762947	0	mt5
COVID-19	1367472937209651207	1	mt5
COVID-19	1367473654305615875	1	mt5
COVID-19	1367473881578156032	1	mt5
COVID-19	1367474456763973634	0	mt5
COVID-19	1367474685290643458	0	mt5
COVID-19	1367474853662646278	0	mt5
COVID-19	1367474987356082178	0	mt5
COVID-19	1367475205996699648	0	mt5
COVID-19	1367475681697923082	1	mt5
COVID-19	1367476084011319300	1	mt5
COVID-19	1367476173245190144	1	mt5
