topic	tweet_id	class_label	run_id
COVID-19	1372215179417636872	1	mt5
COVID-19	1381289441021591561	1	mt5
COVID-19	1380904338348982275	0	mt5
COVID-19	1354071438140043265	1	mt5
COVID-19	1417835888550326276	0	mt5
COVID-19	1402331499656065024	1	mt5
COVID-19	1345106057929121797	1	mt5
COVID-19	1357572865915293697	1	mt5
COVID-19	1379393161366282243	0	mt5
COVID-19	1358838190229123076	1	mt5
COVID-19	1372790467507548167	0	mt5
COVID-19	1409841901470208000	1	mt5
COVID-19	1393999751016820736	0	mt5
COVID-19	1406158576217956354	0	mt5
COVID-19	1364979776746909697	1	mt5
COVID-19	1432944307254829058	1	mt5
COVID-19	1370082288181075970	1	mt5
COVID-19	1394017283526254600	1	mt5
COVID-19	1358874300686688265	0	mt5
COVID-19	1429027060207468546	1	mt5
COVID-19	1364553113709985795	1	mt5
COVID-19	1388022812129075201	0	mt5
COVID-19	1380908492601634818	1	mt5
COVID-19	1364259244938248194	0	mt5
COVID-19	1435597709080203267	1	mt5
COVID-19	1414927845080530944	0	mt5
COVID-19	1392744627262955520	1	mt5
COVID-19	1423256966093213701	0	mt5
COVID-19	1400153480304680961	1	mt5
COVID-19	1423705808865484806	0	mt5
COVID-19	1359771173131866117	0	mt5
COVID-19	1396491700038774788	1	mt5
COVID-19	1372133584606216194	0	mt5
COVID-19	1412721410338865156	1	mt5
COVID-19	1426447829380259842	1	mt5
COVID-19	1394596434104754176	1	mt5
COVID-19	1372585805114400769	0	mt5
COVID-19	1379143311072563203	1	mt5
COVID-19	1433742251516207107	0	mt5
COVID-19	1431659505117548545	0	mt5
COVID-19	1430326034025570306	1	mt5
COVID-19	1424996430498967554	1	mt5
COVID-19	1355820790017613824	0	mt5
COVID-19	1431247095822962692	1	mt5
COVID-19	1372491991871856643	1	mt5
COVID-19	1372125248301236227	1	mt5
COVID-19	1346053291776610307	0	mt5
COVID-19	1384102446738272259	0	mt5
COVID-19	1354155563664420864	0	mt5
COVID-19	1347133849990524931	1	mt5
COVID-19	1380249883081388040	1	mt5
COVID-19	1368848049875849223	1	mt5
COVID-19	1368077651785773056	1	mt5
COVID-19	1393846920972484610	1	mt5
COVID-19	1348243739966320645	0	mt5
COVID-19	1376430146178146309	1	mt5
COVID-19	1366022852546334721	0	mt5
COVID-19	1378916949795733504	0	mt5
COVID-19	1370618024294805504	1	mt5
COVID-19	1409423760671772676	0	mt5
COVID-19	1426549986163105799	1	mt5
COVID-19	1388025272042131457	1	mt5
COVID-19	1434010162369597441	0	mt5
COVID-19	1349712773450772482	1	mt5
COVID-19	1413393354382057472	0	mt5
COVID-19	1375392813278490626	0	mt5
COVID-19	1354801962458386437	0	mt5
COVID-19	1368182925645189123	1	mt5
COVID-19	1351437347666190337	1	mt5
COVID-19	1434508512881778691	0	mt5
COVID-19	1365300509947662339	0	mt5
COVID-19	1380112019538505738	1	mt5
COVID-19	1364235671196610562	1	mt5
COVID-19	1349074904105299968	1	mt5
COVID-19	1353683784676339713	0	mt5
COVID-19	1419331616611110913	1	mt5
COVID-19	1427575942285778981	1	mt5
COVID-19	1371829391626485764	0	mt5
COVID-19	1364141559374114816	0	mt5
COVID-19	1361384889296293889	1	mt5
COVID-19	1426909874122809344	0	mt5
COVID-19	1388030936265236483	1	mt5
COVID-19	1346669032615849984	1	mt5
COVID-19	1351472595846262784	1	mt5
COVID-19	1370701970613362691	0	mt5
COVID-19	1346257109533552642	1	mt5
COVID-19	1430094370380918810	1	mt5
COVID-19	1366787611352776708	1	mt5
COVID-19	1434099426264592390	0	mt5
COVID-19	1353968436741869569	1	mt5
COVID-19	1381998630207434766	1	mt5
COVID-19	1398598184486805505	1	mt5
COVID-19	1432739969462939652	0	mt5
COVID-19	1409478165899132934	0	mt5
COVID-19	1414810005107261440	0	mt5
COVID-19	1358732629458190339	1	mt5
COVID-19	1366315897003143180	0	mt5
COVID-19	1361670252707393538	1	mt5
COVID-19	1415583473377681409	0	mt5
COVID-19	1405841873470623746	1	mt5
COVID-19	1411386500613349376	0	mt5
COVID-19	1406900732264169472	1	mt5
COVID-19	1411906732121546752	0	mt5
COVID-19	1377622528164818953	0	mt5
COVID-19	1380917817336299526	0	mt5
COVID-19	1420640410951725057	1	mt5
COVID-19	1387637469550714880	1	mt5
COVID-19	1373949782494969856	1	mt5
COVID-19	1432661296844099584	0	mt5
COVID-19	1356609467694141446	1	mt5
COVID-19	1376062905121116160	0	mt5
COVID-19	1417818636266446849	1	mt5
COVID-19	1353240633490731010	1	mt5
COVID-19	1370390591582912513	1	mt5
COVID-19	1389998354843803654	1	mt5
COVID-19	1404884559599181831	0	mt5
COVID-19	1395437129313001473	1	mt5
COVID-19	1388868394578059269	1	mt5
COVID-19	1432089569789370368	1	mt5
COVID-19	1363807211206631425	1	mt5
COVID-19	1419308472005443584	1	mt5
COVID-19	1364992113486757895	1	mt5
COVID-19	1348987929021083649	0	mt5
COVID-19	1362421532291706882	0	mt5
COVID-19	1370448186989547521	0	mt5
COVID-19	1372821815400226821	1	mt5
COVID-19	1380376995285118984	0	mt5
COVID-19	1374250826470993921	0	mt5
COVID-19	1279768888985759746	1	mt5
COVID-19	1256321359384244225	1	mt5
