topic	tweet_id	class_label	run_id
COVID-19	1256120472875524096	0	mt5
COVID-19	1256154134027350019	0	mt5
COVID-19	1256253220239872000	1	mt5
COVID-19	1256305038139576326	0	mt5
COVID-19	1256487670311682048	0	mt5
COVID-19	1256903417789890560	1	mt5
COVID-19	1257270974405398530	0	mt5
COVID-19	1257364609910149121	1	mt5
COVID-19	1257742101812514816	1	mt5
COVID-19	1257967060556144640	0	mt5
COVID-19	1258080364276396032	0	mt5
COVID-19	1258330573241815040	0	mt5
COVID-19	1258351540060000257	0	mt5
COVID-19	1258405678428930055	1	mt5
COVID-19	1258427678308392960	1	mt5
COVID-19	1258828565346385920	0	mt5
COVID-19	1259051393048096771	1	mt5
COVID-19	1259062213152632832	1	mt5
COVID-19	1259135471453712396	1	mt5
COVID-19	1259387610746834950	1	mt5
COVID-19	1259414150498996224	1	mt5
COVID-19	1260088889097752577	0	mt5
COVID-19	1260569701593354243	0	mt5
COVID-19	1260821596517945344	0	mt5
COVID-19	1260945855617683456	1	mt5
COVID-19	1261065558331723779	1	mt5
COVID-19	1261239454527823873	0	mt5
COVID-19	1261327672229191683	0	mt5
COVID-19	1261566854897774593	0	mt5
COVID-19	1261641910722183173	0	mt5
COVID-19	1262093716401111041	1	mt5
COVID-19	1262810842665492486	0	mt5
COVID-19	1262849886149640192	1	mt5
COVID-19	1262864031922229250	1	mt5
COVID-19	1262952633075150849	1	mt5
COVID-19	1263038432814731265	0	mt5
COVID-19	1263105802723889154	1	mt5
COVID-19	1263111787039404035	0	mt5
COVID-19	1263748491035230208	1	mt5
COVID-19	1263749544044568578	1	mt5
COVID-19	1264197795969466373	1	mt5
COVID-19	1264463476933738497	0	mt5
COVID-19	1264503936368676865	0	mt5
COVID-19	1264931230203641856	0	mt5
COVID-19	1265203638441558016	1	mt5
COVID-19	1265208734076280835	0	mt5
COVID-19	1265278782149033984	1	mt5
COVID-19	1265409333883535361	1	mt5
COVID-19	1265557479829708802	1	mt5
COVID-19	1265677813358755840	0	mt5
COVID-19	1265701916450881537	1	mt5
COVID-19	1265748270242041856	0	mt5
COVID-19	1265933806793641984	0	mt5
COVID-19	1266051180351930369	1	mt5
COVID-19	1266254038816796672	1	mt5
COVID-19	1266881802804879360	1	mt5
COVID-19	1377386707331526657	0	mt5
COVID-19	1377387590827962372	1	mt5
COVID-19	1377387734671618048	1	mt5
COVID-19	1377388636614889473	0	mt5
COVID-19	1377502257298731011	0	mt5
COVID-19	1377510488825851906	1	mt5
COVID-19	1377510925129895942	0	mt5
COVID-19	1377512944339193862	0	mt5
COVID-19	1377513977857634307	1	mt5
COVID-19	1377548003108663296	1	mt5
COVID-19	1377549113022025730	0	mt5
COVID-19	1377984440681439238	0	mt5
COVID-19	1377987686254977028	1	mt5
COVID-19	1377992347246493699	0	mt5
COVID-19	1377994707435982851	0	mt5
COVID-19	1377998731203784707	0	mt5
COVID-19	1378045851193516036	0	mt5
COVID-19	1378048083918008321	1	mt5
COVID-19	1378048507207110656	0	mt5
COVID-19	1378049266934034435	0	mt5
COVID-19	1378054316301426690	0	mt5
COVID-19	1378874706145722370	0	mt5
COVID-19	1378978884515999745	0	mt5
COVID-19	1381653922390085635	1	mt5
COVID-19	1381654671983534081	1	mt5
COVID-19	1381658453085728768	0	mt5
COVID-19	1381659757690421249	1	mt5
COVID-19	1381664410704437253	1	mt5
COVID-19	1381665437012746241	0	mt5
COVID-19	1381666847574081542	0	mt5
COVID-19	1384194494094995468	1	mt5
COVID-19	1384194568229298184	1	mt5
COVID-19	1384198304867647499	0	mt5
COVID-19	1384200125321416714	0	mt5
COVID-19	1384495683303051265	0	mt5
COVID-19	1384496413267177473	1	mt5
COVID-19	1384496856248508419	1	mt5
COVID-19	1384497511583395841	1	mt5
COVID-19	1384499979897786372	0	mt5
COVID-19	1384501077589045254	0	mt5
COVID-19	1384502299427495937	1	mt5
COVID-19	1384503712777900033	0	mt5
COVID-19	1384503713188954115	1	mt5
COVID-19	1384504279696879619	1	mt5
COVID-19	1384506974965051399	1	mt5
COVID-19	1384825912269709314	1	mt5
COVID-19	1384829303393767430	0	mt5
COVID-19	1384830118577819648	0	mt5
COVID-19	1384830820532297729	1	mt5
COVID-19	1384831196518141953	0	mt5
COVID-19	1384835330239520771	0	mt5
COVID-19	1384835815914803200	1	mt5
COVID-19	1386258945015169036	0	mt5
COVID-19	1386260653363634176	0	mt5
COVID-19	1386263444576514050	1	mt5
COVID-19	1386266171167715330	1	mt5
COVID-19	1386270754044620800	0	mt5
COVID-19	1387176410436055054	0	mt5
COVID-19	1387177749442441216	0	mt5
COVID-19	1387179203783766020	0	mt5
COVID-19	1387530406015217664	1	mt5
COVID-19	1387535571682271233	1	mt5
COVID-19	1387539885616160772	1	mt5
COVID-19	1387663027206492163	0	mt5
COVID-19	1387665548595671045	0	mt5
COVID-19	1387666540955328513	0	mt5
